run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[5].gate$o[0].channel,delay,,,0.1s,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[5].gate$o[0].channel,delay,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[5].gate$o[0].channel,delay,unit,s,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[0],typename,,,"""Txc16""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[1],typename,,,"""Txc16""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[2],typename,,,"""Txc16""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[3],typename,,,"""Txc16""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[4],typename,,,"""Txc16""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[5],typename,,,"""Txc16""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16,typename,,,"""Tictoc16""",,,,,,,,,,
General-0-20231004-21:10:08-4769,statistic,Tictoc16.tic[0],hopCount:stats,,,,12,12,9.9166666666667,7.8908270488683,2,31,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[0],hopCount:stats,interpolationmode,none,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[0],hopCount:stats,recordingmode,stats,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[0],hopCount:stats,source,arrival,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[0],hopCount:stats,title,hop count,,,,,,,,,,,
General-0-20231004-21:10:08-4769,statistic,Tictoc16.tic[1],hopCount:stats,,,,13,13,3.1538461538462,3.7382293902808,1,13,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1],hopCount:stats,interpolationmode,none,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1],hopCount:stats,recordingmode,stats,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1],hopCount:stats,source,arrival,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1],hopCount:stats,title,hop count,,,,,,,,,,,
General-0-20231004-21:10:08-4769,statistic,Tictoc16.tic[2],hopCount:stats,,,,4,4,9,4.6904157598234,4,13,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[2],hopCount:stats,interpolationmode,none,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[2],hopCount:stats,recordingmode,stats,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[2],hopCount:stats,source,arrival,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[2],hopCount:stats,title,hop count,,,,,,,,,,,
